Frequency ratio for engciphertext 3 grams:
cdn 1.37	 Occurrences:37
epb 0.04	 Occurrences:1
ocy 0.04	 Occurrences:1
ylv 0.04	 Occurrences:1
lvt 0.04	 Occurrences:1
(on 0.04	 Occurrences:1
one 0.04	 Occurrences:1
nes 0.04	 Occurrences:1
klp 0.04	 Occurrences:1
lpt 0.04	 Occurrences:1
ptj 0.04	 Occurrences:1
tjy 0.04	 Occurrences:1
zry 0.04	 Occurrences:1
ryz 0.04	 Occurrences:1
yzv 0.04	 Occurrences:1
zvd 0.04	 Occurrences:1
vdz 0.04	 Occurrences:1
dze 0.04	 Occurrences:1
zeh 0.04	 Occurrences:1
hn) 0.04	 Occurrences:1
n)j 0.04	 Occurrences:1
)jo 0.04	 Occurrences:1
dei 0.04	 Occurrences:1
eiy 0.04	 Occurrences:1
rnj 0.04	 Occurrences:1
njy 0.04	 Occurrences:1
zr( 0.04	 Occurrences:1
r(l 0.04	 Occurrences:1
(ly 0.04	 Occurrences:1
znq 0.04	 Occurrences:1
nqe 0.04	 Occurrences:1
qes 0.04	 Occurrences:1
esv 0.04	 Occurrences:1
tnj 0.04	 Occurrences:1
nje 0.04	 Occurrences:1
jet 0.04	 Occurrences:1
tte 0.04	 Occurrences:1
tea 0.04	 Occurrences:1
eax 0.04	 Occurrences:1
axz 0.04	 Occurrences:1
hec 0.04	 Occurrences:1
cce 0.04	 Occurrences:1
iue 0.04	 Occurrences:1
uec 0.04	 Occurrences:1
ecr 0.04	 Occurrences:1
cre 0.04	 Occurrences:1
rej 0.04	 Occurrences:1
ejb 0.04	 Occurrences:1
jb) 0.04	 Occurrences:1
b)i 0.04	 Occurrences:1
)iy 0.04	 Occurrences:1
nby 0.04	 Occurrences:1
byt 0.04	 Occurrences:1
tyb 0.04	 Occurrences:1
ybk 0.04	 Occurrences:1
knz 0.04	 Occurrences:1
hnz 0.04	 Occurrences:1
zoy 0.04	 Occurrences:1
oyp 0.04	 Occurrences:1
yph 0.04	 Occurrences:1
phi 0.04	 Occurrences:1
dx— 0.04	 Occurrences:1
x—n 0.04	 Occurrences:1
—nq 0.04	 Occurrences:1
qin 0.04	 Occurrences:1
nvc 0.04	 Occurrences:1
ior 0.04	 Occurrences:1
rnb 0.04	 Occurrences:1
yzh 0.04	 Occurrences:1
zhp 0.04	 Occurrences:1
idc 0.04	 Occurrences:1
dcd 0.04	 Occurrences:1
bkh 0.04	 Occurrences:1
khe 0.04	 Occurrences:1
ehp 0.04	 Occurrences:1
ocr 0.04	 Occurrences:1
crn 0.04	 Occurrences:1
hok 0.04	 Occurrences:1
okb 0.04	 Occurrences:1
kbe 0.04	 Occurrences:1
bh( 0.04	 Occurrences:1
h(n 0.04	 Occurrences:1
nka 0.04	 Occurrences:1
kaz 0.04	 Occurrences:1
zyb 0.04	 Occurrences:1
iyl 0.04	 Occurrences:1
lto 0.04	 Occurrences:1
okd 0.04	 Occurrences:1
kdc 0.04	 Occurrences:1
dcy 0.04	 Occurrences:1
byf 0.04	 Occurrences:1
zty 0.04	 Occurrences:1
tyz 0.04	 Occurrences:1
zr) 0.04	 Occurrences:1
r)— 0.04	 Occurrences:1
)—h 0.04	 Occurrences:1
—ho 0.04	 Occurrences:1
ztx 0.04	 Occurrences:1
idy 0.04	 Occurrences:1
dyh 0.04	 Occurrences:1
nay 0.04	 Occurrences:1
dsy 0.04	 Occurrences:1
ete 0.04	 Occurrences:1
brs 0.04	 Occurrences:1
rsy 0.04	 Occurrences:1
ebn 0.04	 Occurrences:1
bnf 0.04	 Occurrences:1
dna 0.04	 Occurrences:1
anh 0.04	 Occurrences:1
hci 0.04	 Occurrences:1
ciy 0.04	 Occurrences:1
eth 0.04	 Occurrences:1
thy 0.04	 Occurrences:1
hye 0.04	 Occurrences:1
yez 0.04	 Occurrences:1
zer 0.04	 Occurrences:1
ere 0.04	 Occurrences:1
evc 0.04	 Occurrences:1
yiy 0.04	 Occurrences:1
ysv 0.04	 Occurrences:1
svp 0.04	 Occurrences:1
vpc 0.04	 Occurrences:1
pcn 0.04	 Occurrences:1
zh
 0.04	 Occurrences:1


i 0.04	 Occurrences:1

iz 0.04	 Occurrences:1
zsp 0.04	 Occurrences:1
sph 0.04	 Occurrences:1
nrl 0.04	 Occurrences:1
rly 0.04	 Occurrences:1
yrh 0.04	 Occurrences:1
rhl 0.04	 Occurrences:1
hly 0.04	 Occurrences:1
zya 0.04	 Occurrences:1
yac 0.04	 Occurrences:1
ace 0.04	 Occurrences:1
dns 0.04	 Occurrences:1
eii 0.04	 Occurrences:1
iin 0.04	 Occurrences:1
hhc 0.04	 Occurrences:1
nxb 0.04	 Occurrences:1
xby 0.04	 Occurrences:1
txz 0.04	 Occurrences:1
poz 0.04	 Occurrences:1
ryh 0.04	 Occurrences:1
yhy 0.04	 Occurrences:1
hy; 0.04	 Occurrences:1
y;o 0.04	 Occurrences:1
;on 0.04	 Occurrences:1
ono 0.04	 Occurrences:1
noc 0.04	 Occurrences:1
coh 0.04	 Occurrences:1
yld 0.04	 Occurrences:1
ldy 0.04	 Occurrences:1
yjc 0.04	 Occurrences:1
jcy 0.04	 Occurrences:1
yiz 0.04	 Occurrences:1
ize 0.04	 Occurrences:1
shy 0.04	 Occurrences:1
hyz 0.04	 Occurrences:1
dno 0.04	 Occurrences:1
noz 0.04	 Occurrences:1
ozo 0.04	 Occurrences:1
zos 0.04	 Occurrences:1
cec 0.04	 Occurrences:1
bh
 0.04	 Occurrences:1


h 0.04	 Occurrences:1

hy 0.04	 Occurrences:1
snp 0.04	 Occurrences:1
zsh 0.04	 Occurrences:1
shi 0.04	 Occurrences:1
kxo 0.04	 Occurrences:1
zid 0.04	 Occurrences:1
atx 0.04	 Occurrences:1
txo 0.04	 Occurrences:1
bnb 0.04	 Occurrences:1
hdj 0.04	 Occurrences:1
djd 0.04	 Occurrences:1
dot 0.04	 Occurrences:1
tny 0.04	 Occurrences:1
nyc 0.04	 Occurrences:1
zh( 0.04	 Occurrences:1
h(o 0.04	 Occurrences:1
(ob 0.04	 Occurrences:1
pro 0.04	 Occurrences:1
kph 0.04	 Occurrences:1
phs 0.04	 Occurrences:1
hso 0.04	 Occurrences:1
sot 0.04	 Occurrences:1
oto 0.04	 Occurrences:1
toc 0.04	 Occurrences:1
oce 0.04	 Occurrences:1
cez 0.04	 Occurrences:1
xvz 0.04	 Occurrences:1
ink 0.04	 Occurrences:1
nkn 0.04	 Occurrences:1
tx) 0.04	 Occurrences:1
x)p 0.04	 Occurrences:1
dxc 0.04	 Occurrences:1
zhv 0.04	 Occurrences:1
brv 0.04	 Occurrences:1
rvz 0.04	 Occurrences:1
iny 0.04	 Occurrences:1
vdo 0.04	 Occurrences:1
oic 0.04	 Occurrences:1
cni 0.04	 Occurrences:1
nid 0.04	 Occurrences:1
idb 0.04	 Occurrences:1
dbo 0.04	 Occurrences:1
bog 0.04	 Occurrences:1
ogp 0.04	 Occurrences:1
pnh 0.04	 Occurrences:1
kxc 0.04	 Occurrences:1
zcy 0.04	 Occurrences:1
bnr 0.04	 Occurrences:1
nrh 0.04	 Occurrences:1
rhc 0.04	 Occurrences:1
ohs 0.04	 Occurrences:1
nlt 0.04	 Occurrences:1
ltn 0.04	 Occurrences:1
tnq 0.04	 Occurrences:1
nqo 0.04	 Occurrences:1
qoa 0.04	 Occurrences:1
hnf 0.04	 Occurrences:1
ety 0.04	 Occurrences:1
tyc 0.04	 Occurrences:1
zte 0.04	 Occurrences:1
obj 0.04	 Occurrences:1
diz 0.04	 Occurrences:1
x(r 0.04	 Occurrences:1
(ry 0.04	 Occurrences:1
ryb 0.04	 Occurrences:1
ybn 0.04	 Occurrences:1
bna 0.04	 Occurrences:1
axi 0.04	 Occurrences:1
xiz 0.04	 Occurrences:1
yko 0.04	 Occurrences:1
koh 0.04	 Occurrences:1
hch 0.04	 Occurrences:1
h)o 0.04	 Occurrences:1
etj 0.04	 Occurrences:1
tje 0.04	 Occurrences:1
jex 0.04	 Occurrences:1
exh 0.04	 Occurrences:1
xhp 0.04	 Occurrences:1
rhn 0.04	 Occurrences:1
nbh 0.04	 Occurrences:1
eay 0.04	 Occurrences:1
ayf 0.04	 Occurrences:1
nzl 0.04	 Occurrences:1
zli 0.04	 Occurrences:1
li2 0.04	 Occurrences:1
i28 0.04	 Occurrences:1
282 0.04	 Occurrences:1
828 0.04	 Occurrences:1
28e 0.04	 Occurrences:1
8er 0.04	 Occurrences:1
erf 0.04	 Occurrences:1
rfo 0.04	 Occurrences:1
foh 0.04	 Occurrences:1
ech 0.04	 Occurrences:1
nke 0.04	 Occurrences:1
keb 0.04	 Occurrences:1
eby 0.04	 Occurrences:1
byk 0.04	 Occurrences:1
dxo 0.04	 Occurrences:1
xoh 0.04	 Occurrences:1
ohh 0.04	 Occurrences:1
nco 0.04	 Occurrences:1
prn 0.04	 Occurrences:1
kx
 0.04	 Occurrences:1
x

 0.04	 Occurrences:1


c 0.04	 Occurrences:1

cd 0.04	 Occurrences:1
ihy 0.04	 Occurrences:1
lte 0.04	 Occurrences:1
ecd 0.04	 Occurrences:1
def 0.04	 Occurrences:1
efn 0.04	 Occurrences:1
fnh 0.04	 Occurrences:1
nhy 0.04	 Occurrences:1
nev 0.04	 Occurrences:1
evv 0.04	 Occurrences:1
vvt 0.04	 Occurrences:1
vto 0.04	 Occurrences:1
dxy 0.04	 Occurrences:1
xyz 0.04	 Occurrences:1
ziz 0.04	 Occurrences:1
x(n 0.04	 Occurrences:1
nkl 0.04	 Occurrences:1
lzn 0.04	 Occurrences:1
pnb 0.04	 Occurrences:1
bix 0.04	 Occurrences:1
ixr 0.04	 Occurrences:1
xre 0.04	 Occurrences:1
etn 0.04	 Occurrences:1
bhp 0.04	 Occurrences:1
bof 0.04	 Occurrences:1
tve 0.04	 Occurrences:1
vec 0.04	 Occurrences:1
zbh 0.04	 Occurrences:1
nci 0.04	 Occurrences:1
ci) 0.04	 Occurrences:1
i)o 0.04	 Occurrences:1
yto 0.04	 Occurrences:1
tob 0.04	 Occurrences:1
kpo 0.04	 Occurrences:1
poh 0.04	 Occurrences:1
